"time","longitude","latitude","mag","Dampak"
"2021-02-16T08:42:11.540Z","112.0975","-6.0656","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-02-16T07:24:40.126Z","106.8584","-7.8021","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-02-02T23:39:36.409Z","108.9834","-7.9775","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-01-15T14:17:02.903Z","108.6481","-8.3389","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-01-14T01:51:17.879Z","105.4526","-8.1371","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-01-07T19:05:35.908Z","109.2756","-6.6812","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-12-04T04:35:29.909Z","113.9353","-6.1721","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-11-28T21:07:52.124Z","106.605","-7.3706","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-11-14T15:32:32.014Z","105.1651","-6.6942","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-11-14T03:00:51.594Z","111.632","-8.584","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-11-04T22:21:49.702Z","106.1567","-7.3061","5.2","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2020-11-01T14:34:11.015Z","107.6332","-7.1501","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-10-28T06:49:15.007Z","112.4335","-8.5172","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-10-25T23:49:48.583Z","107.8954","-8.1249","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-10-25T00:56:45.775Z","107.9821","-7.9934","5.4","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2020-10-21T23:50:21.837Z","106.3321","-6.7441","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-10-19T19:57:15.407Z","108.1948","-8.074","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-10-03T23:03:23.638Z","112.8793","-6.0151","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-09-22T01:39:24.230Z","111.1266","-8.6017","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-09-08T02:06:15.862Z","106.6258","-7.4979","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-09-04T14:42:10.566Z","114.4458","-8.4084","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-08-30T18:28:06.156Z","111.2975","-8.4461","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-08-28T10:31:13.138Z","105.864","-6.4614","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-08-23T22:52:39.411Z","111.4201","-7.7582","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-08-23T21:05:36.372Z","107.3366","-7.7972","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-08-16T15:12:35.976Z","107.3531","-7.6793","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-08-01T16:24:35.565Z","108.1537","-6.1779","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-07-28T02:00:33.408Z","107.0704","-7.5425","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-07-14T00:04:34.872Z","106.3621","-6.5552","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-07-11T09:15:03.907Z","106.4415","-8.1808","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-07-10T04:55:56.615Z","106.8384","-7.3423","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-07-08T14:54:45.499Z","105.8121","-5.9088","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-07-07T04:44:13.602Z","106.3418","-6.3146","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2020-07-02T12:00:41.143Z","106.5785","-7.6355","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-06-26T18:13:18.660Z","105.2135","-8.4246","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-06-20T08:17:05.574Z","106.4925","-6.239","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-06-16T04:32:49.595Z","105.7059","-7.0855","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-06-12T10:51:01.809Z","105.2385","-8.2197","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-06-11T20:22:25.402Z","105.3274","-8.2219","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-06-10T01:25:33.263Z","111.9458","-6.0385","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-24T07:11:43.210Z","107.9778","-7.8402","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-19T10:23:13.369Z","110.9562","-8.5604","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-19T10:00:18.966Z","107.9644","-7.8311","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-18T11:04:53.228Z","108.1588","-8.1925","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-12T10:06:24.533Z","106.0961","-7.2105","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-08T20:39:50.063Z","106.312","-7.6571","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-05-01T10:43:32.137Z","108.2608","-7.8725","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-04-30T08:21:59.649Z","106.9026","-7.0922","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-04-25T04:43:24.056Z","106.1768","-5.973","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-04-15T09:50:00.684Z","112.5379","-8.597","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-04-09T07:20:55.527Z","107.8508","-8.0814","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-04-05T00:15:23.641Z","113.1477","-8.5361","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-18T23:54:49.841Z","109.4694","-6.7286","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-18T08:45:48.597Z","107.6753","-7.5152","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-16T03:56:41.714Z","106.7727","-7.4774","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-14T23:26:34.621Z","105.653","-6.8374","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-14T02:17:53.430Z","108.9137","-8.3139","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-10T10:18:04.505Z","106.6813","-6.7852","5","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2020-03-08T05:03:20.734Z","106.3358","-6.4638","4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-03-01T15:50:13.144Z","114.46","-6.2076","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
